contact_id,account_id,type,value
1,1,email,jane.doe@email.com
2,2,phone,555-0102
3,3,email,emily.wong@email.com
4,4,phone,555-0104
5,5,email,sarah.johnson@email.com
6,6,phone,555-0106
7,7,email,alice.garcia@email.com
8,8,phone,555-0108
9,9,email,linda.lopez@email.com
10,10,phone,555-0110
11,11,email,patricia.wilson@email.com
12,12,phone,555-0112
13,13,email,barbara.thomas@email.com
14,14,phone,555-0114
15,15,email,elizabeth.moore@email.com
16,16,phone,555-0116
17,17,email,jennifer.white@email.com
18,18,phone,555-0118
19,19,email,mary.martin@email.com
20,20,phone,555-0120

